Algoritmo,Otimizador,Fold_ID,Tempo_Treinamento_s,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,CV_Kappa,Cenario
MLP,Genetica,1,5.94,0.75,0.86,0.7678571428571429,0.8113207547169812,0.7989211309523809,0.4444444444444444,Original
MLP,Genetica,2,5.8,0.73125,0.8108108108108109,0.8035714285714286,0.8071748878923767,0.734375,0.36390532544378695,Original
MLP,Genetica,3,4.56,0.69375,0.7837837837837838,0.7767857142857143,0.7802690582959642,0.7191220238095238,0.2751479289940828,Original
MLP,Genetica,4,5.04,0.73125,0.7851239669421488,0.8482142857142857,0.8154506437768241,0.7014508928571429,0.3238993710691823,Original
MLP,Genetica,5,4.83,0.75625,0.8230088495575221,0.8303571428571429,0.8266666666666667,0.7671130952380952,0.4161676646706587,Original
RF,GridSearch,1,0.22,0.8,0.8389830508474576,0.8839285714285714,0.8608695652173913,0.8262648809523809,0.5061728395061729,Original
RF,GridSearch,2,0.18,0.74375,0.7983193277310925,0.8482142857142857,0.8225108225108225,0.7821800595238094,0.3633540372670808,Original
RF,GridSearch,3,0.21,0.725,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.7660900297619048,0.29487179487179493,Original
RF,GridSearch,4,0.2,0.70625,0.751937984496124,0.8660714285714286,0.8049792531120332,0.7222842261904762,0.2218543046357616,Original
RF,GridSearch,5,0.2,0.78125,0.8235294117647058,0.875,0.8484848484848485,0.808779761904762,0.4565217391304348,Original
RF,RandomSearch,1,0.2,0.80625,0.8461538461538461,0.8839285714285714,0.8646288209606987,0.8249627976190477,0.5245398773006136,Original
RF,RandomSearch,2,0.21,0.74375,0.7983193277310925,0.8482142857142857,0.8225108225108225,0.7826450892857143,0.3633540372670808,Original
RF,RandomSearch,3,0.22,0.71875,0.768,0.8571428571428571,0.810126582278481,0.7649739583333335,0.27419354838709675,Original
RF,RandomSearch,4,0.17,0.7,0.75,0.8571428571428571,0.8,0.7188430059523809,0.21052631578947367,Original
RF,RandomSearch,5,0.19,0.78125,0.8235294117647058,0.875,0.8484848484848485,0.8083147321428572,0.4565217391304348,Original
RF,Bayesiana,1,0.18,0.80625,0.8461538461538461,0.8839285714285714,0.8646288209606987,0.8249627976190477,0.5245398773006136,Original
RF,Bayesiana,2,0.16,0.74375,0.7983193277310925,0.8482142857142857,0.8225108225108225,0.7826450892857143,0.3633540372670808,Original
RF,Bayesiana,3,0.16,0.71875,0.768,0.8571428571428571,0.810126582278481,0.7649739583333335,0.27419354838709675,Original
RF,Bayesiana,4,0.19,0.7,0.75,0.8571428571428571,0.8,0.7188430059523809,0.21052631578947367,Original
RF,Bayesiana,5,0.21,0.78125,0.8235294117647058,0.875,0.8484848484848485,0.8083147321428572,0.4565217391304348,Original
RF,Genetica,1,0.18,0.8,0.8389830508474576,0.8839285714285714,0.8608695652173913,0.8262648809523809,0.5061728395061729,Original
RF,Genetica,2,0.21,0.74375,0.7983193277310925,0.8482142857142857,0.8225108225108225,0.7821800595238094,0.3633540372670808,Original
RF,Genetica,3,0.22,0.725,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.7660900297619048,0.29487179487179493,Original
RF,Genetica,4,0.22,0.70625,0.751937984496124,0.8660714285714286,0.8049792531120332,0.7222842261904762,0.2218543046357616,Original
RF,Genetica,5,0.23,0.78125,0.8235294117647058,0.875,0.8484848484848485,0.808779761904762,0.4565217391304348,Original
KNN,GridSearch,1,0.0,0.7,0.826530612244898,0.7232142857142857,0.7714285714285715,0.738467261904762,0.34065934065934067,Original
KNN,GridSearch,2,0.0,0.71875,0.8073394495412844,0.7857142857142857,0.7963800904977375,0.7336309523809524,0.3421052631578948,Original
KNN,GridSearch,3,0.0,0.64375,0.7669902912621359,0.7053571428571429,0.7348837209302326,0.6139322916666666,0.19491525423728806,Original
KNN,GridSearch,4,0.0,0.65625,0.7714285714285715,0.7232142857142857,0.7465437788018433,0.6253720238095238,0.2142857142857143,Original
KNN,GridSearch,5,0.0,0.68125,0.8080808080808081,0.7142857142857143,0.7582938388625592,0.7142857142857142,0.29558011049723765,Original
KNN,RandomSearch,1,0.0,0.7,0.826530612244898,0.7232142857142857,0.7714285714285715,0.738467261904762,0.34065934065934067,Original
KNN,RandomSearch,2,0.0,0.71875,0.8073394495412844,0.7857142857142857,0.7963800904977375,0.7336309523809524,0.3421052631578948,Original
KNN,RandomSearch,3,0.0,0.64375,0.7669902912621359,0.7053571428571429,0.7348837209302326,0.6139322916666666,0.19491525423728806,Original
KNN,RandomSearch,4,0.0,0.65625,0.7714285714285715,0.7232142857142857,0.7465437788018433,0.6253720238095238,0.2142857142857143,Original
KNN,RandomSearch,5,0.0,0.68125,0.8080808080808081,0.7142857142857143,0.7582938388625592,0.7142857142857142,0.29558011049723765,Original
KNN,Bayesiana,1,0.0,0.7,0.826530612244898,0.7232142857142857,0.7714285714285715,0.738467261904762,0.34065934065934067,Original
KNN,Bayesiana,2,0.0,0.71875,0.8073394495412844,0.7857142857142857,0.7963800904977375,0.7336309523809524,0.3421052631578948,Original
KNN,Bayesiana,3,0.0,0.64375,0.7669902912621359,0.7053571428571429,0.7348837209302326,0.6139322916666666,0.19491525423728806,Original
KNN,Bayesiana,4,0.0,0.65625,0.7714285714285715,0.7232142857142857,0.7465437788018433,0.6253720238095238,0.2142857142857143,Original
KNN,Bayesiana,5,0.0,0.68125,0.8080808080808081,0.7142857142857143,0.7582938388625592,0.7142857142857142,0.29558011049723765,Original
KNN,Genetica,1,0.0,0.7,0.826530612244898,0.7232142857142857,0.7714285714285715,0.738467261904762,0.34065934065934067,Original
KNN,Genetica,2,0.0,0.71875,0.8073394495412844,0.7857142857142857,0.7963800904977375,0.7336309523809524,0.3421052631578948,Original
KNN,Genetica,3,0.0,0.64375,0.7669902912621359,0.7053571428571429,0.7348837209302326,0.6139322916666666,0.19491525423728806,Original
KNN,Genetica,4,0.0,0.65625,0.7714285714285715,0.7232142857142857,0.7465437788018433,0.6253720238095238,0.2142857142857143,Original
KNN,Genetica,5,0.0,0.68125,0.8080808080808081,0.7142857142857143,0.7582938388625592,0.7142857142857142,0.29558011049723765,Original
SVM,GridSearch,1,0.12,0.7375,0.85,0.7589285714285714,0.8018867924528302,0.7855282738095238,0.41666666666666663,Original
SVM,GridSearch,2,0.16,0.70625,0.782608695652174,0.8035714285714286,0.7929515418502202,0.71875,0.28787878787878785,Original
SVM,GridSearch,3,0.15,0.70625,0.7981651376146789,0.7767857142857143,0.7873303167420814,0.6949404761904763,0.3128654970760234,Original
SVM,GridSearch,4,0.19,0.7,0.7758620689655172,0.8035714285714286,0.7894736842105263,0.6975446428571429,0.2682926829268292,Original
SVM,GridSearch,5,0.2,0.7625,0.8363636363636363,0.8214285714285714,0.8288288288288288,0.7473958333333333,0.4411764705882353,Original
SVM,RandomSearch,1,0.24,0.71875,0.8252427184466019,0.7589285714285714,0.7906976744186046,0.7626488095238095,0.364406779661017,Original
SVM,RandomSearch,2,0.24,0.6875,0.7672413793103449,0.7946428571428571,0.7807017543859649,0.7023809523809524,0.23780487804878048,Original
SVM,RandomSearch,3,0.2,0.6625,0.7543859649122807,0.7678571428571429,0.7610619469026548,0.6498325892857142,0.18674698795180733,Original
SVM,RandomSearch,4,0.17,0.74375,0.7983193277310925,0.8482142857142857,0.8225108225108225,0.7140997023809524,0.3633540372670808,Original
SVM,RandomSearch,5,0.18,0.725,0.8090909090909091,0.7946428571428571,0.8018018018018018,0.726748511904762,0.3529411764705882,Original
SVM,Bayesiana,1,0.29,0.73125,0.8349514563106796,0.7678571428571429,0.8,0.7996651785714285,0.3926553672316384,Original
SVM,Bayesiana,2,0.23,0.73125,0.8108108108108109,0.8035714285714286,0.8071748878923767,0.7526041666666667,0.36390532544378695,Original
SVM,Bayesiana,3,0.27,0.69375,0.8118811881188119,0.7321428571428571,0.7699530516431925,0.7287946428571429,0.3156424581005586,Original
SVM,Bayesiana,4,0.23,0.70625,0.7876106194690266,0.7946428571428571,0.7911111111111111,0.6845238095238095,0.29640718562874246,Original
SVM,Bayesiana,5,0.29,0.76875,0.8504672897196262,0.8125,0.8310502283105022,0.7720424107142857,0.4653179190751445,Original
SVM,Genetica,1,0.15,0.7375,0.85,0.7589285714285714,0.8018867924528302,0.7855282738095238,0.41666666666666663,Original
SVM,Genetica,2,0.17,0.70625,0.782608695652174,0.8035714285714286,0.7929515418502202,0.71875,0.28787878787878785,Original
SVM,Genetica,3,0.15,0.70625,0.7981651376146789,0.7767857142857143,0.7873303167420814,0.6949404761904763,0.3128654970760234,Original
SVM,Genetica,4,0.17,0.7,0.7758620689655172,0.8035714285714286,0.7894736842105263,0.6975446428571429,0.2682926829268292,Original
SVM,Genetica,5,0.2,0.7625,0.8363636363636363,0.8214285714285714,0.8288288288288288,0.7473958333333333,0.4411764705882353,Original
